category,image1,image2,dhash,avghash,phash,whash,nrmse,ssim
nature-1,nature-1-clonestamp.png,nature-1-wm-big.png,0.105,0.055,0.344,0.203,0.193,0.08
nature-1,nature-1-wm-big.png,nature-1-clonestamp.png,0.105,0.055,0.344,0.203,0.186,0.08
cityscape,cityscape-crop-right.png,cityscape.png,0.109,0.195,0.227,0.211,0.3,0.077
cityscape,cityscape.png,cityscape-crop-right.png,0.109,0.195,0.227,0.211,0.333,0.077
nature-1,nature-1-clonestamp.png,nature-1-hue.png,0.109,0.055,0.305,0.102,0.22,0.162
nature-1,nature-1-hue.png,nature-1-clonestamp.png,0.109,0.055,0.305,0.102,0.213,0.162
cityscape,cityscape-clonestamp.png,cityscape-crop-right.png,0.113,0.207,0.219,0.219,0.35,0.096
cityscape,cityscape-crop-right.png,cityscape-clonestamp.png,0.113,0.207,0.219,0.219,0.314,0.096
cityscape,cityscape-crop-right.png,cityscape-wm-big.png,0.113,0.199,0.234,0.195,0.298,0.084
cityscape,cityscape-wm-big.png,cityscape-crop-right.png,0.113,0.199,0.234,0.195,0.329,0.084
nature-2,nature-2-clonestamp.png,nature-2-wm-big.png,0.113,0.047,0.453,0.07,0.135,0.047
nature-2,nature-2-wm-big.png,nature-2-clonestamp.png,0.113,0.047,0.453,0.07,0.133,0.047
cityscape,cityscape-crop-right.png,cityscape-wm-small.png,0.117,0.195,0.234,0.203,0.299,0.08
cityscape,cityscape-wm-small.png,cityscape-crop-right.png,0.117,0.195,0.234,0.203,0.332,0.08
cityscape,cityscape-crop-left.png,cityscape.png,0.121,0.156,0.18,0.141,0.25,0.052
cityscape,cityscape.png,cityscape-crop-left.png,0.121,0.156,0.18,0.141,0.271,0.052
cityscape,cityscape-crop-left.png,cityscape-wm-small.png,0.129,0.156,0.18,0.141,0.251,0.056
cityscape,cityscape-wm-small.png,cityscape-crop-left.png,0.129,0.156,0.18,0.141,0.271,0.056
nature-2,nature-2-clonestamp.png,nature-2-hue.png,0.129,0.043,0.398,0.07,0.209,0.119
nature-2,nature-2-hue.png,nature-2-clonestamp.png,0.129,0.043,0.398,0.07,0.207,0.119
cityscape,cityscape-crop-right.png,cityscape-no-cn-tower.png,0.133,0.195,0.234,0.211,0.303,0.082
cityscape,cityscape-no-cn-tower.png,cityscape-crop-right.png,0.133,0.195,0.234,0.211,0.336,0.082
cityscape,cityscape-box.png,cityscape-crop-right.png,0.137,0.203,0.305,0.219,0.354,0.094
cityscape,cityscape-crop-right.png,cityscape-box.png,0.137,0.203,0.305,0.219,0.315,0.094
cityscape,cityscape-crop-left.png,cityscape-wm-big.png,0.141,0.16,0.18,0.141,0.254,0.063
cityscape,cityscape-wm-big.png,cityscape-crop-left.png,0.141,0.16,0.18,0.141,0.275,0.063
cityscape,cityscape-crop-left.png,cityscape-no-cn-tower.png,0.145,0.156,0.211,0.141,0.253,0.057
cityscape,cityscape-no-cn-tower.png,cityscape-crop-left.png,0.145,0.156,0.211,0.141,0.274,0.057
nature-1,nature-1-box.png,nature-1-clonestamp.png,0.145,0.09,0.367,0.211,0.188,0.091
nature-1,nature-1-clonestamp.png,nature-1-box.png,0.145,0.09,0.367,0.211,0.196,0.091
cityscape,cityscape-clonestamp.png,cityscape-crop-left.png,0.148,0.184,0.281,0.156,0.286,0.078
cityscape,cityscape-crop-left.png,cityscape-clonestamp.png,0.148,0.184,0.281,0.156,0.263,0.078
cityscape,cityscape-crop-right.png,cityscape-hue.png,0.148,0.184,0.25,0.211,0.328,0.145
cityscape,cityscape-hue.png,cityscape-crop-right.png,0.148,0.184,0.25,0.211,0.362,0.145
cityscape,cityscape-crop-left.png,cityscape-hue.png,0.16,0.16,0.195,0.156,0.297,0.134
cityscape,cityscape-hue.png,cityscape-crop-left.png,0.16,0.16,0.195,0.156,0.32,0.134
cityscape,cityscape-box.png,cityscape-crop-left.png,0.172,0.188,0.234,0.141,0.296,0.078
cityscape,cityscape-crop-left.png,cityscape-box.png,0.172,0.188,0.234,0.141,0.27,0.078
cityscape,cityscape-crop-left.png,cityscape-crop-right.png,0.23,0.258,0.305,0.273,0.396,0.129
cityscape,cityscape-crop-right.png,cityscape-crop-left.png,0.23,0.258,0.305,0.273,0.386,0.129
